normalizedIngredient,occurrences,sourceCount,recipeCount,beforeMapped,afterExactProduct,afterFamilyResolved,afterProcessInput,afterAmbiguous,afterProductGap,resolutionState,candidateFamily,reason,recommendedNextAction
"оливковое масло extra virgin","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"панировка","2","1","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","панировка","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"перепелиное яйцо","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец молотый","2","2","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","перец","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"перец черный горошком","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец чили по вкусу","2","2","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"плавленый сыр","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"приправа для курицы","2","2","2","0","0","0","2","0","0","PROCESS_INPUT","приправа для курицы","process ingredient remains in accounting","none"
"пшеничная лапша","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рис арборио","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рис круглый","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рубленая петрушка","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"салат айсберг","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сало","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сахар ванильный","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежемолотый черный перец щепотка","2","0","0","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"свежий тимьян","2","0","0","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свекла","2","1","2","2","2","0","0","0","0","EXACT_PRODUCT","свекла","exact canonical product","none"
"смесь молотых перцев по вкусу","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"смесь салатных листьев","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сметана 15 20%","2","1","1","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","сметана","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"сметана 20%","2","1","2","2","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","сметана","exact accepted form-specific product","none"
"сок лайма","2","1","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","сок лайма","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"соль и перец","2","1","2","0","0","0","2","0","0","PROCESS_INPUT","соль и перец","process ingredient remains in accounting","none"
"соль черный молотый перец","2","1","2","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"сосиски","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"соус чили","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"специи по вкусу","2","1","2","0","0","0","2","0","0","PROCESS_INPUT","специи","process ingredient remains in accounting","none"
"сушеный майоран по вкусу","2","0","0","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сыр горгонзола","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сыр моцарелла","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"твердый сыр по вкусу","2","1","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","твердый сыр","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"тимьян сушеный","2","1","1","2","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","тимьян","exact accepted form-specific product","none"
"томатный сок","2","1","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","томатный сок","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"тушенка","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"тыква очищенная","2","1","1","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"фарш свино говяжий","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"фенхель","2","1","2","2","2","0","0","0","0","EXACT_PRODUCT","фенхель","exact canonical product","none"
"филе куриной грудки","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"хмели сунели","2","2","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"цветная капуста","2","2","2","2","2","0","0","0","0","EXACT_PRODUCT","цветная капуста","exact canonical product","none"
"черная смородина","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"черный перец горошком","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"чесночный порошок","2","1","2","0","0","0","0","0","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"яйца куриные","2","1","2","0","0","2","0","0","0","PRODUCT_FAMILY_RESOLVED","яйца","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"айва","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"ананасы","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"английские огурцы","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"апельсиновая цедра","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"арахисовое масло","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"асафетида щепотка","1","1","1","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"базилик по вкусу","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","базилик","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"базилик сухой","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","базилик","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"баклажан","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","баклажан","exact canonical product","none"
"бальзамический крем","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"бараний фарш","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"баранина","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"барбарис","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"батат сырой","1","0","0","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","батат","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"бекон по вкусу","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","бекон","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"белая часть лука порей","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белое сухое вино","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белый лук","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белый перец горошком по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белый сыр чеддер","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"бобы адзуки хундоу","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"болгарский перец свежий или замороженный","1","0","0","0","0","0","0","0","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar","retain family and resolve form only with explicit evidence"
"брусника","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"брусничный джем","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"брусничный морс","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"булгур","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","булгур","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"булка белая","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"булочка для гамбургеров","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"бульон куриный","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","бульон","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"бульонные кубики 5 6 шт","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"ванильный сахар щепотка","1","1","1","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"ветчина или колбаса сосиски","1","0","0","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"винный уксус","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"винный уксус по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"виноград","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","виноград","exact canonical product","none"
"вишня","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","вишня","exact canonical product","none"
"вишня без косточек","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"вода или бульон","1","1","1","0","0","0","0","0","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar","retain family and resolve form only with explicit evidence"
"вода или молоко","1","1","1","0","0","0","0","0","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar","retain family and resolve form only with explicit evidence"
"вода кипяток","1","0","0","0","0","0","1","0","0","PROCESS_INPUT","вода кипяток","process ingredient remains in accounting","none"
"вода ледяная","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","вода ледяная","process ingredient remains in accounting","none"
"гарам масала","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"гвоздика","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","гвоздика","exact canonical product","none"
"говядина мякоть","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"говяжий бульон","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"говяжье филе","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"говяжья вырезка","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"голубика","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","голубика","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"голяшки говяжьи","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"горошек зеленый","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","горошек зеленый","exact canonical product","none"
"горчица дижонская","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","горчица дижонская","exact canonical product","none"
"горчичное масло","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"гранатовый сок","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"грибной бульон","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"грудка индейки","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"длиннозерный рис","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"для бульона","1","1","1","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"для клецек","1","1","1","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"для начинки","1","1","1","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"для подачи","1","1","4","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"для подготовки формы","1","1","1","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"для соуса","1","1","1","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"для соуса маринада","1","1","1","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"для супа","1","1","1","0","0","0","0","0","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient","none"
"ежевика","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","ежевика","exact canonical product","none"
"ежевичное пюре","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"заменитель сахара по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"замороженная мексиканская смесь","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"замороженная черная смородина","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"замороженный шпинат","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","шпинат","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"запеченный лосось","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","лосось","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"зеленый лук перья","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"зеленый лук свежая зелень","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"зеленый салат","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"зеленый сладкий перец","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"зелень петрушки","1","1","3","0","0","0","1","0","0","PROCESS_INPUT","зелень петрушки","process ingredient remains in accounting","none"
"зелень петрушки для подачи","1","0","0","0","0","0","1","0","0","PROCESS_INPUT","зелень петрушки для подачи","process ingredient remains in accounting","none"
"зелень петрушки и укропа","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","зелень петрушки и укропа","process ingredient remains in accounting","none"
"зелень петрушки мелко нарезанная","1","0","0","0","0","0","1","0","0","PROCESS_INPUT","зелень петрушки мелко нарезанная","process ingredient remains in accounting","none"
"зелень свежая зеленый лук укроп петрушка","1","0","0","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"зелень сельдерея","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","зелень сельдерея","process ingredient remains in accounting","none"
"зелень укроп петрушка кинза","1","0","0","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"зелень укропа","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","зелень укропа","process ingredient remains in accounting","none"
"зелень укропа и петрушки","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","зелень укропа и петрушки","process ingredient remains in accounting","none"
"зерна граната","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"зернистая горчица","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"или","1","1","1","0","0","0","0","0","0","PARSE_NOISE","","empty or orphaned alternative marker","none"
"или ванильный сахар","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"имбирь","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","имбирь","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"имбирь по вкусу","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","имбирь","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"имеретинский сыр","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"итальянские травы","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"итальянские травы по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кабачки молодые","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кабачки средние","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кабачок мякоть","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"какао","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","какао","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"кальмар","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","кальмар","exact canonical product","none"
"кальмар свежемороженый","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"капуста брокколи по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"капуста кейл","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"капуста тушеная","1","1","1","1","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","капуста","exact accepted form-specific product","none"
"капуста цветная","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"картофель отварной","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","картофель","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"картофель среднего размера","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"картофель средний","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"картофельные чипсы","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кедровые орехи по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кетчуп помидорный","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кинза кориандр","1","1","1","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"кинза по вкусу","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","кинза","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"кипяток","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","кипяток","process ingredient remains in accounting","none"
"клубника свежая 100 г","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кокосовая мука","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кокосовая стружка","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кокосовое молоко","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"колбаса вареная","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","колбаса","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"колбаса копченая","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","колбаса","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"колбаски","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"колбаски копченые","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"консервированная фасоль","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","фасоль","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"консервированная фасоль в томатном соусе","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"консервированные кальмары","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"консервированные шампиньоны","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"консервированный ананас","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","ананас","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"консервированный перец чипотле","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"консервированный тунец","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","тунец","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"консервированный тунец в собственном соку","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"консервы сайры в масле","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"концентрат заварного крема 2 фунта 0","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"копченая колбаса","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","колбаса","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"копченые ребрышки","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кориандр зерна","1","1","1","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"коричневый сахар по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"корнишоны","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"королевские шампиньоны","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"крабовые палочки","1","2","2","1","1","0","0","0","0","EXACT_PRODUCT","крабовые палочки","exact canonical product","none"
"крабовые палочки мясо","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"красная икра","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"красная икра по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"красная консервированная фасоль","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"креветки варено мороженые","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"крекеры","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"круглая булочка","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"крупа пшеничная","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"крупа пшенная","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"крупное яйцо","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"крупные помидоры черри","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кукуруза","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","кукуруза","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"кукуруза консервированная","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","кукуруза","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
