normalizedIngredient,occurrences,sourceCount,resolutionState,candidateFamily,reason
"зеленый сладкий перец","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"зелень петрушки","1","1","PROCESS_INPUT","зелень петрушки","process ingredient remains in accounting"
"зелень петрушки для подачи","1","0","PROCESS_INPUT","зелень петрушки для подачи","process ingredient remains in accounting"
"зелень петрушки и укропа","1","1","PROCESS_INPUT","зелень петрушки и укропа","process ingredient remains in accounting"
"зелень петрушки мелко нарезанная","1","0","PROCESS_INPUT","зелень петрушки мелко нарезанная","process ingredient remains in accounting"
"зелень свежая зеленый лук укроп петрушка","1","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"зелень сельдерея","1","1","PROCESS_INPUT","зелень сельдерея","process ingredient remains in accounting"
"зелень укроп петрушка кинза","1","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"зелень укропа","1","1","PROCESS_INPUT","зелень укропа","process ingredient remains in accounting"
"зелень укропа и петрушки","1","1","PROCESS_INPUT","зелень укропа и петрушки","process ingredient remains in accounting"
"зерна граната","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"зернистая горчица","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"или","1","1","PARSE_NOISE","","empty or orphaned alternative marker"
"или ванильный сахар","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"имбирь","1","1","PRODUCT_FAMILY_RESOLVED","имбирь","generic identity resolved without arbitrary variant selection"
"имбирь по вкусу","1","1","PRODUCT_FAMILY_RESOLVED","имбирь","generic identity resolved without arbitrary variant selection"
"имеретинский сыр","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"итальянские травы","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"итальянские травы по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кабачки молодые","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"кабачки средние","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кабачок мякоть","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"какао","1","1","PRODUCT_FAMILY_RESOLVED","какао","corpus-backed identity family; concrete product selection remains pending"
"кальмар","1","1","EXACT_PRODUCT","кальмар","exact canonical product"
"кальмар свежемороженый","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"капуста брокколи по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"капуста кейл","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"капуста тушеная","1","1","FORM_EXPLICIT_PRODUCT","капуста","exact accepted form-specific product"
"капуста цветная","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"картофель отварной","1","1","PRODUCT_FAMILY_RESOLVED","картофель","generic identity resolved without arbitrary variant selection"
"картофель среднего размера","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"картофель средний","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"картофельные чипсы","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кедровые орехи по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кетчуп помидорный","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кинза кориандр","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"кинза по вкусу","1","1","PRODUCT_FAMILY_RESOLVED","кинза","corpus-backed identity family; concrete product selection remains pending"
"кипяток","1","1","PROCESS_INPUT","кипяток","process ingredient remains in accounting"
"клубника свежая 100 г","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кокосовая мука","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кокосовая стружка","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кокосовое молоко","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"колбаса вареная","1","1","PRODUCT_FAMILY_RESOLVED","колбаса","corpus-backed identity family; concrete product selection remains pending"
"колбаса копченая","1","1","PRODUCT_FAMILY_RESOLVED","колбаса","corpus-backed identity family; concrete product selection remains pending"
"колбаски","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"колбаски копченые","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"консервированная фасоль","1","1","PRODUCT_FAMILY_RESOLVED","фасоль","generic identity resolved without arbitrary variant selection"
"консервированная фасоль в томатном соусе","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"консервированные кальмары","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"консервированные шампиньоны","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"консервированный ананас","1","1","PRODUCT_FAMILY_RESOLVED","ананас","generic identity resolved without arbitrary variant selection"
"консервированный перец чипотле","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"консервированный тунец","1","1","PRODUCT_FAMILY_RESOLVED","тунец","generic identity resolved without arbitrary variant selection"
"консервированный тунец в собственном соку","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"консервы сайры в масле","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"концентрат заварного крема 2 фунта 0","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"копченая колбаса","1","1","PRODUCT_FAMILY_RESOLVED","колбаса","corpus-backed identity family; concrete product selection remains pending"
"копченые ребрышки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кориандр зерна","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"коричневый сахар по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"корнишоны","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"королевские шампиньоны","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"крабовые палочки","1","2","EXACT_PRODUCT","крабовые палочки","exact canonical product"
"крабовые палочки мясо","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"красная икра","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"красная икра по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"красная консервированная фасоль","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"креветки варено мороженые","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"крекеры","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"круглая булочка","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"крупа пшеничная","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"крупа пшенная","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"крупное яйцо","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"крупные помидоры черри","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"кукуруза","1","1","PRODUCT_FAMILY_RESOLVED","кукуруза","generic identity resolved without arbitrary variant selection"
"кукуруза консервированная","1","1","PRODUCT_FAMILY_RESOLVED","кукуруза","corpus-backed identity family; concrete product selection remains pending"
"кукурузная мука","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кукурузные тортильи","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кукурузный крахмал","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кумин","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"кунжутное масло","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"купаты","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"курага","1","1","EXACT_PRODUCT","курага","exact canonical product"
"куриная грудка или филе","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"куриное яйцо крупное","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"куриные бедрышки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"куриные голени","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"куриный бульон","1","1","PRODUCT_FAMILY_RESOLVED","бульон","corpus-backed identity family; concrete product selection remains pending"
"курица бройлерная","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"лавровый лист по желанию","1","0","PROCESS_INPUT","лавровый лист по желанию","process ingredient remains in accounting"
"лапша удон","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"лимонная или апельсиновая цедра","1","1","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar"
"листья виноградные","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"лосось","1","1","EXACT_PRODUCT","лосось","exact canonical product"
"лук зеленый мелко нарезанный","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"лук зеленый нарезанный","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"лук некрупный","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"лук репчатый некрупный","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"луковица","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"майонез или сметана","1","1","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar"
"майонез по вкусу","1","1","EXACT_PRODUCT","майонез","exact canonical product"
"мак пищевой","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"макароны","1","1","PRODUCT_FAMILY_RESOLVED","макароны","corpus-backed identity family; concrete product selection remains pending"
"макароны сухие","1","0","EXACT_PRODUCT","макароны сухие","exact canonical product"
"мандариновая цедра","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"манная крупа 2 ст.л","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"маргарин для смазывания противня","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"маринованные огурцы","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"маринованные огурцы по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"маршмеллоу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"маслины по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"масло грецкого ореха","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"масло для жарки желательно оливковое","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"масло желательно топленое","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"масло канолы","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"масло кунжутное","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"масло кунжутное растительное","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"масло оливковое","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"масло подсолнечное для жарки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"масло растительное для обжарки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"масло растительное или сливочное","1","1","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar"
"масло растительное рафинированное","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"масло растительное сливочное","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"масло растительное у меня оливковое","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"масло расторопши","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"масло сливочное 82","1","1","PRODUCT_FAMILY_RESOLVED","масло сливочное","generic identity resolved without arbitrary variant selection"
"масло сливочное для жарки","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"масло сливочное для смазывания формы","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"мацони","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мед по вкусу","1","1","EXACT_PRODUCT","мед","exact canonical product"
"микросалат","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"минтай","1","2","EXACT_PRODUCT","минтай","exact canonical product"
"минтай филе","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"молоко жирностью 3","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"молотая корица щепотка","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"молотый кориандр","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"молотый красный перец","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"молотый красный перец по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"молотый мускатный орех щепотка","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"молотый перец чили по вкусу","1","1","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection"
"молочный шоколад","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"морковь некрупная","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"морковь по корейски","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"морская соль щепотка","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"мраморная говядина","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мука амаранта","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мука для обваливания","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мука для пасты","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мука кукурузная","1","1","EXACT_PRODUCT","мука кукурузная","exact canonical product"
"мука овсяная пшеничная","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мускатный орех молотый","1","1","PRODUCT_FAMILY_RESOLVED","мускатный орех","generic identity resolved without arbitrary variant selection"
"мякоть авокадо","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мясной бульон","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мясные полуфабрикаты","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мясо","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"мясо криля","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"нори морские водоросли","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"нут","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"обезжиренная пахта","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"обезжиренный кефир","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"обезжиренный творог","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"овечий сыр","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"огурец свежий","1","1","PRODUCT_FAMILY_RESOLVED","огурец","generic identity resolved without arbitrary variant selection"
"огурцы соленые","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"оливки без косточек","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"оливковое масло extra virgin по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"орегано","1","2","PRODUCT_FAMILY_RESOLVED","орегано","generic identity resolved without arbitrary variant selection"
"орегано сухой","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"орегано сушеное","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"орегано щепотка","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"орехи","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"орехи грецкие","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"острая горчица","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"охотничьи колбаски","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"панировочные сухари из белого хлеба","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"паприка по вкусу","1","1","EXACT_PRODUCT","паприка","exact canonical product"
"паприка сладкая молотая","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"паста","1","2","EXACT_PRODUCT","паста","exact canonical product"
"паста каннеллони","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"паста по вкусу","1","1","EXACT_PRODUCT","паста","exact canonical product"
"паста спагетти","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"паста тальятелле","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"паста фузилли","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"пекан","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"пекинская капуста","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перец белый горошком","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перец красный и черный","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перец красный молотый","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перец молотый смесь","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"перец свежемолотый смесь перцев","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"перец сладкий красный","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перец черный молотый для подачи","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"перец чили свежий","1","1","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection"
"перловая крупа","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перловка","1","1","PRODUCT_FAMILY_RESOLVED","перловка","generic identity resolved without arbitrary variant selection"
"петрушка зелень","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"петрушка свежая для подачи по желанию","1","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"петрушка свежая зелень","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"плавленые сырки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"поваренная соль","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"помидоры пелати","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"помидоры свежие","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"порошок асаи","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"приправа","1","1","PROCESS_INPUT","приправа","process ingredient remains in accounting"
"приправа для рыбы","1","1","PROCESS_INPUT","приправа для рыбы","process ingredient remains in accounting"
"прованские травы по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"пропаренный рис","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"пюре гороховое","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"разрыхлитель теста","1","1","PROCESS_INPUT","разрыхлитель теста","process ingredient remains in accounting"
"растительное масло для жарки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"растительное масло для фритюра","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"растительные сливки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"рафинированное масло для жарки","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"рафинированное оливковое масло","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"ребрышки свиные","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"редис","1","1","EXACT_PRODUCT","редис","exact canonical product"
"ржаной хлеб каравай","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"рис для ризотто","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"рис круглозерный","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"рис круглый непропаренный","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"розмарин сушеный","1","1","FORM_EXPLICIT_PRODUCT","розмарин","exact accepted form-specific product"
"российский сыр","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"рубленая кинза кориандр","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"рукола","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"рыба у меня филе трески","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"рыбный бульон из рыбных косточек и обрезков или вода","1","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar"
"салат корн","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"салат латук","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"салат оливье","1","1","PRODUCT_FAMILY_RESOLVED","салат оливье","corpus-backed identity family; concrete product selection remains pending"
"салат ромен","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сахар 2 фунта 0","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сахар песок","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сахар по желанию","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"сахарная пудра","1","1","PROCESS_INPUT","сахарная пудра","process ingredient remains in accounting"
"сахарный песок","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сацебели","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"свежая зелень","1","0","PROCESS_INPUT","зелень","process ingredient remains in accounting"
"свежая мята","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свежая мята по вкусу","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свежевыжатый лимонный сок","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свежевыжатый морковный сок","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свежие листья орегано","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свежие очищенные устрицы","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свежие шампиньоны","1","0","PRODUCT_FAMILY_RESOLVED","шампиньоны","generic identity resolved without arbitrary variant selection"
"свежий желтый перец","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свежий розмарин","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"светлый изюм","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"свиная голяшка рулька","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свиная корейка","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"свиная котлета на кости","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"свинина мякоть","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"свиной фарш","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"свиные копченые ребра","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сезонные сырые овощи сельдерей цветная и краснокочанная капуста морковь эндивий помидоры болгарский перец огурцы также яйца вкрутую.","1","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"сейтан","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"семена кориандра","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"семена кумина зира","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"слабосоленый лосось","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сладкий красный лук","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сладкий соус чили","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки 10% ные","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки 20% ные","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки 30% ные","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки 33% ные","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки 35% ные","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки жирностью 10%","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки жирностью 15%","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки жирностью 20%","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки жирностью 33%","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"сливки жирные","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сливочное масло для подачи","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"сливочное масло размягченное","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"сливы","1","1","FORM_EXPLICIT_PRODUCT","слива","exact accepted form-specific product"
"слоеное тесто","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"смесь итальянских трав","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"смесь итальянских трав по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"смесь итальянских трав по желанию","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"смесь молотых перцев щепотка","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"смесь перцев","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"смесь сушеных итальянских трав","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сметана 15%","1","0","FORM_EXPLICIT_PRODUCT","сметана","exact accepted form-specific product"
"сметана 20% ная","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сметана нежирная","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"сметана по желанию","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"смешанный фарш","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сморчки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сода пищевая","1","1","PROCESS_INPUT","сода пищевая","process ingredient remains in accounting"
"сок лимона","1","1","PRODUCT_FAMILY_RESOLVED","лимонный сок","corpus-backed identity family; concrete product selection remains pending"
"соленые белые грибы","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"соленые огурцы","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"соль и перец черный молотый","1","1","PROCESS_INPUT","соль и перец черный","process ingredient remains in accounting"
"соль молотый перец","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"соль морская","1","1","PROCESS_INPUT","соль морская","process ingredient remains in accounting"
"соль перец зелень","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"соль поваренная","1","1","PROCESS_INPUT","соль поваренная","process ingredient remains in accounting"
"соус кимчи","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"соус соевый","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"соус спайси","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"соус терияки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"специи по желанию","1","0","PROCESS_INPUT","специи по желанию","process ingredient remains in accounting"
"специи сухие любые","1","0","PROCESS_INPUT","специи сухие любые","process ingredient remains in accounting"
"сумах","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сумах по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сухарики","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сухие дрожжи","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сухое белое вино","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сушеный зеленый лук","1","0","PRODUCT_FAMILY_RESOLVED","зеленый лук","generic identity resolved without arbitrary variant selection"
"сушеный орегано","1","0","PRODUCT_FAMILY_RESOLVED","орегано","generic identity resolved without arbitrary variant selection"
"сушеный розмарин по вкусу","1","0","PRODUCT_FAMILY_RESOLVED","розмарин","generic identity resolved without arbitrary variant selection"
"сыр грюйер","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр любой","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр мини моцарелла","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр плавленый","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр сливочный","1","2","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр сливочный мягкий","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр страчателла","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр сулугуни","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр твердый российский","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр фонтина","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр чеддер","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сырой кешью","1","1","PRODUCT_FAMILY_RESOLVED","кешью","corpus-backed identity family; concrete product selection remains pending"
"творог 5%","1","1","FORM_EXPLICIT_PRODUCT","творог","exact accepted form-specific product"
"творог 5% ный","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"творог 9% жирности","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"творог жирностью 5%","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"творог жирностью 9%","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"творог жирный","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"творог нежирный","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"творог однородный жирный","1","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"творожная масса с изюмом","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"телячий фарш","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"телячья вырезка","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тертый имбирь","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тертый сыр пармезан по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
